book_id	isbn	title	author	publisher	total_pages	cover_url
b146	9788937460579	부덴브로크 가의 사람들 2	토마스 만	민음사	580	https://image.aladin.co.kr/product/30/56/cover500/8937460572_3.jpg
b147	9788937460586	싯다르타	헤르만 헤세	민음사	252	https://image.aladin.co.kr/product/32/95/cover500/s062934786_1.jpg
b148	9788937460609	아들과 연인 2	데이비드 허버트 로렌스	민음사	424	https://image.aladin.co.kr/product/32/87/cover500/8937460602_3.jpg
b149	9788937460623	벨킨 이야기, 스페이드 여왕	알렉산드르 세르게비치 푸시킨	민음사	204	https://image.aladin.co.kr/product/34/59/cover500/8937460629_3.jpg
b150	9788937460630	넙치 1	귄터 그라스	민음사	548	https://image.aladin.co.kr/product/35/6/cover500/8937460637_3.jpg
b151	9788937460647	넙치 2	귄터 그라스	민음사	516	https://image.aladin.co.kr/product/35/6/cover500/8937460645_3.jpg
b152	9788937460654	소망 없는 불행	페터 한트케	민음사	204	https://image.aladin.co.kr/product/36/27/cover500/s372934787_1.jpg
b153	9788937460661	나르치스와 골드문트	헤르만 헤세	민음사	500	https://image.aladin.co.kr/product/37/1/cover500/s382934787_1.jpg
b154	9788937460678	황야의 이리	헤르만 헤세	민음사	340	https://image.aladin.co.kr/product/37/1/cover500/s392934787_1.jpg
b155	9788937460685	페테르부르크 이야기	니콜라이 바실리예비치 고골	민음사	372	https://image.aladin.co.kr/product/37/56/cover500/s302934787_1.jpg
b156	9788937460692	밤으로의 긴 여로	유진 오닐	민음사	244	https://image.aladin.co.kr/product/38/53/cover500/s422934787_1.jpg
b157	9788937460708	체호프 단편선	안톤 파블로비치 체호프	민음사	220	https://image.aladin.co.kr/product/38/90/cover500/s552934787_1.jpg
b158	9788937460715	버스 정류장	가오싱젠	민음사	268	https://image.aladin.co.kr/product/39/20/cover500/8937460718_3.jpg
b159	9788937460722	구운몽	김만중	민음사	284	https://image.aladin.co.kr/product/39/80/cover500/s562934787_1.jpg
