place_id,name,name_languages,address,primary_type,rating,review_count,photo_count,has_hours,has_summary,business_status,has_website,review_sample_langs,foreign_reviews_in_sample,maps_url
ChIJVVeSMznraDURsksiblbxF7A,"조개공장 서면점ㅣBusan Seomyeon Seafood & Beef Food Korean BBQ Best Restaurants (烤海鲜, 海鮮焼き)",ko+en+ja+zh,대한민국 부산광역시 부산진구 서전로10번길 36 2층,restaurant,4.9,117,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=12688875828656884658&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJmxqzZgDraDURf4JeBXiu4Vo,No9hanwoo 9号韩牛 넘버나인한우 서면점,ko+en+zh,대한민국 부산광역시 부산진구 서전로 11,korean_restaurant,4.9,98,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=6548707163682800255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJf-0jzNfraDURoxRXwwahOcM,제주옥탑 서면점,ko,대한민국 부산광역시 부산진구 서전로10번길 43,korean_barbecue_restaurant,4.3,85,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=14067451961487594659&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJoUZf81XraDURf7KVyup_Lo8,샐러드바스켓 서면,ko,대한민국 부산광역시 부산진구 서면로 55 샐러드바스켓 2F,food_store,4.7,73,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10317324442750268031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJVdj92pjraDURwjRzdGPgSX0,돌판화주 부산서면본점,ko,대한민국 부산광역시 부산진구 중앙대로680번가길 59 1층,restaurant,5,72,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=9027993645800961218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ3Z9FO07raDURZ2fYZiBorRU,도담갈비선생 서면점 DODAM Galbi seomyeon,ko+en,대한민국 부산광역시 부산진구 중앙대로692번길 46-7 도담갈비선생 1층,korean_restaurant,4.9,54,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=1562019134141130599&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ4yO5EgDraDURnzhJtzgIRR4,쭈꾸미가 알고싶다 부산서면점,ko,대한민국 부산광역시 부산진구 부전제1동 469-4 쭈꾸미가알고싶다 서면점 1층,korean_restaurant,5,50,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=2181158634217093279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJAVIQvPrraDURLZIlYvxTtbk,공인주,ko,대한민국 부산광역시 중앙대로680번가길 80 KR 부산광역시 부산진구 부전2동 1층,korean_barbecue_restaurant,4.8,45,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=13381694211244790317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ__T9QJLraDURbnEqzN2Z1-0,불로장생 서면 bulrojangsaeng korean BBQ 韩国酒吧打卡,ko+en+zh,대한민국 부산광역시 부산진구 동천로85번길 28 1층,restaurant,4.8,44,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=17138336084873867630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ84-LmUvraDUR8MjK7CtUdkQ,다다믄충무김밥 서면본점,ko,대한민국 부산광역시 부산진구 서면로 48-1,korean_restaurant,4.1,44,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,zh-Hant,zh-Hant",2,https://maps.google.com/?cid=4933222989463996656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJG8PugyfraDUR81S8dI0fWNg,후라토식당 서면점,ko,대한민국 부산광역시 부산진구 서면로 65-4,japanese_restaurant,4.4,35,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=15589244802552321267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJv2wm9YXraDUReqmgUpwDP9w,프랭크버거 부산서면점,ko,대한민국 부산광역시 부산진구 중앙대로680번길 22,hamburger_restaurant,4.2,29,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=15870407581812959610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJa38nQ9XraDURaKiZBRmyaro,서면먹자골목,ko,대한민국 부산광역시 부산진구 부전제2동,tourist_attraction,4.1,28,10,No,No,OPERATIONAL,No,"ko,ko,ko,ko,en",1,https://maps.google.com/?cid=13432744659123808360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJr140uPTraDURRqpsTvSzXzc,서면 맛집 갓잇 서면점 타코 멕시칸 음식점 GOD EAT Seomyeon | Taco Restaurant GOD EAT Seomyeon Branch | グルメ | 餐廳,ko+en+ja+zh,"대한민국 부산광역시 부산진구 전포대로209번길 22 1층, 2층",mexican_restaurant,4.2,27,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=3990105656742685254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJcXV2Fm7raDUR1Mq1S72fZV0,탄탄면공방 부산롯데서면점,ko,대한민국 부산광역시 부산진구,ramen_restaurant,4.4,27,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=6729960853542914772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJK-_KFDTraDURFeDIHu0pQ3I,조개대교 전포점,ko,"대한민국 부산광역시 부산진구 전포대로210번길 ６ 2,3F",seafood_restaurant,4.9,26,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=8233470642163867669&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJNxNUXcrpaDURBAKIEupnuvw,서면소갈비살 남포점 | Busan Seomyeon Sogalbisal Nampodong International market,ko+en,대한민국 부산광역시 중구 중구로23번길 29,restaurant,5,17,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,en,en",2,https://maps.google.com/?cid=18210982298256933380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJh_RQUgDraDURHCGjY5W0DnE,서울깍두기 서면본점,ko,대한민국 부산광역시 부산진구 서면로68번길 29,korean_restaurant,4.1,14,10,No,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=8146647329674567964&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJgSYnAwDraDURo-HzphAzQ6Y,올바로갈비 서면점,ko,대한민국 부산광역시 부산진구 부전동 168-6,korean_barbecue_restaurant,5,6,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=11980475580349145507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJseYWGk3raDURcrecK7JBOHs,이낙에산다 서면점 | Inake Sanda Seomyeon | イナゲサンダ 西面店,ko+en+ja+zh,대한민국 부산광역시 부산진구 가야대로784번길 21,korean_restaurant,5,4,10,Yes,No,OPERATIONAL,Yes,"ko,ko,en,en",2,https://maps.google.com/?cid=8878918898852607858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJIy9vcQDraDURaYpjOLbpUsM,서면고기집 돈마초 | Don Macho Korean BBQ restaurant – Seomyeon | 西面 Don Macho 韩式烤肉店 | 西面 Don Macho 韓国焼肉店,ko+en+zh,대한민국 부산광역시 부산진구 부전동 168-63,korean_restaurant,5,3,10,Yes,No,OPERATIONAL,Yes,"ko,zh-Hant,unknown",2,https://maps.google.com/?cid=14074568754325588585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
